torque,kappa,beta,velocity,x,y
2.5911284280650717,-7.870092463183205e-12,0.00099999999212990764,0.004457654768114282,2.9999921078549754,-11.99997360050155
2.5938728306716405,-8.5387307538483281e-12,0.00099999999146126932,0.0030776846573084093,3.029059759557467,-12.00006786318498
1.179414287730174,-8.5487621835657162e-12,0.00099999999145123785,0.7103069436317296,3.0913204653633652,-12.00013871467617
0.4844190186290722,-8.5587811264493406e-12,0.00099999999144121895,1.0577929506932031,3.301362708543029,-12.00049694350096
-0.01,-8.5987267504103363e-12,0.00099999999140127326,2.1972531482383553,3.5374722034877784,-12.000944095261618
-0.01,-8.6483549895843284e-12,0.00099999999135164499,3.1068074692844836,4.009441794467586,-12.001640996126415
-0.01,-8.6976285193968497e-12,0.00099999999130237147,4.19872672466552,4.58058444202794,-12.002795095845634
-0.01,-8.7950368013839659e-12,0.00099999999120496327,4.407665393058055,5.367881195152589,-12.004242587035671
-0.01,-8.9380173504171636e-12,0.00099999999106198259,4.346559309310825,6.361651854555672,-12.00606311274684
-0.01,-9.0493877313275859e-12,0.00099999999095061226,4.3063739560565235,7.042667160657686,-12.007313649573785
-0.01,-9.1399384149911738e-12,0.00099999999086006165,4.23151377767794,7.548768737277153,-12.008073469999784
-0.01,-9.2107882942927179e-12,0.00099999999078921164,4.194378042881367,8.258759427645494,-12.009368217856645
-0.01,-9.305740031658423e-12,0.00099999999069426003,4.153893876616375,8.794324284253435,-12.010352929117978
-0.01,-9.3645913283656127e-12,0.00099999999063540867,4.079050759348492,9.52718566458717,-12.011662980489483
-0.01,-9.4704327970744513e-12,0.00099999999052956712,4.048343699151845,10.010914692269637,-12.012622048355738
-0.01,-9.5098874423720224e-12,0.00099999999049011257,4.016152080135991,10.17109748197528,-12.012866437776223
-0.01,-9.5254671142208686e-12,0.0009999999904745328,4.003538648614504,10.529994166267917,-12.013515516303881
-0.01,-9.5639001288236122e-12,0.00099999999043609978,3.9814688699925243,10.768330983004617,-12.013986333309518
-0.01,-9.5865998495400677e-12,0.00099999999041340028,3.952773496699794,10.887348598203873,-12.014264104494766
-0.01,-9.601580424915915e-12,0.00099999999039841964,3.945186853098948,11.12334231400704,-12.01458399571453
-0.01,-9.6311699398624686e-12,0.00099999999036883003,3.927874791599397,11.592791499345129,-12.015462516238042
-0.01,-9.6817339373256947e-12,0.00099999999031826609,3.893175745965205,12.135205293784084,-12.016465737746977
