torque,kappa,beta,velocity,x,y
-0.005730950863619661,-9.2013846450659356e-11,-9.2013846450659356e-11,0.0028652090153755434,2.999993930191806,-12.000003141371216
7.987500761531917,-9.2013848903784231e-11,-9.2013848903784231e-11,0.0063216030689774855,2.999963288875669,-12.000034608748846
7.624406478911085,-9.2013848903766033e-11,-9.2013848903766033e-11,0.18802797070095903,3.015086300784523,-12.000029006864361
6.651515574744149,-9.2013848903766033e-11,-9.2013848903766033e-11,0.6745514236304623,3.0500710761322254,-12.000056077247674
6.181695664473548,-9.2013848903766033e-11,-9.2013848903766033e-11,0.9094917011456685,3.108172375072014,-12.00008285222558
5.673224542670299,-9.1504789482384681e-11,-9.1504789482384681e-11,1.1634814608953992,3.2032144645894687,-12.000043706765295
4.7602164767533885,-9.1504789469055493e-11,-9.1504789469055493e-11,1.6218992230783573,3.266845130894106,-12.000629374136137
3.2574988553498745,-9.1504789469055493e-11,-9.1504789469055493e-11,2.371308119926912,3.389002469981496,-12.001067684232096
2.3427269784304157,-9.1095894079113721e-11,-9.1095894079113721e-11,2.828661142305838,3.5655296130403205,-12.000138514648734
1.7595866294743476,-9.0827382537097457e-11,-9.0827382537097457e-11,3.1203365489085972,3.730069583617409,-12.000629069456018
0.7510258526948604,-9.0582565146468522e-11,-9.0582565146468522e-11,3.624497440854459,4.087381362481819,-12.000846863154688
-0.01,-9.036119937881761e-11,-9.036119937881761e-11,4.361813176518876,4.316792150055531,-12.001014306252426
-0.01,-9.1221238506362619e-11,-9.1221238506362619e-11,4.801575927501064,4.4146707162163,-12.00103485584327
-0.01,-9.1221238522345402e-11,-9.1221238522345402e-11,4.976105166762449,4.674725336082929,-12.001272098727524
-0.01,-9.1755879823772843e-11,-9.1755879823772843e-11,5.415436946216568,4.846337581029519,-12.00092262739938
-0.01,-9.2905078009189105e-11,-9.2905078009189105e-11,5.860307951292068,5.2563575792726684,-12.001577273596101
-0.01,-9.3520526206790821e-11,-9.3520526206790821e-11,5.813589436707616,5.557143889762539,-12.002113028693035
-0.01,-9.4835525502002137e-11,-9.4835525502002137e-11,6.022029189136654,5.677531740516692,-12.00227795798686
-0.01,-9.5536113412421641e-11,-9.5536113412421641e-11,6.011172776059301,6.097990803544251,-12.002522269900433
-0.01,-9.626616097854554e-11,-9.626616097854554e-11,5.9980426437051,6.217896409597835,-12.002622081542341
-0.01,-9.7816957061912865e-11,-9.7816957061912865e-11,5.99361534785274,6.81531427744216,-12.00301241058856
-0.01,-9.9499744225641817e-11,-9.9499744225641817e-11,5.9538843634914365,6.934425915774005,-12.002906113808356
-0.01,-1.0039206813467693e-10,-1.0039206813467693e-10,5.945732101732112,7.112764741456217,-12.003213688535196
-0.01,-1.013180470130591e-10,-1.013180470130591e-10,5.9459614782806485,7.409737426362537,-12.003377824301579
-0.01,-1.0327401373622311e-10,-1.0327401373622311e-10,5.916237823765429,7.8828169006556195,-12.003703840582352
-0.01,-1.0434435795033418e-10,-1.0434435795033418e-10,5.903213797547786,8.059974366786193,-12.003857120299365
-0.01,-1.0660465551389772e-10,-1.0660465551389772e-10,5.8863301765042495,8.471274045080188,-12.00424092267696
-0.01,-1.0779267216678204e-10,-1.0779267216678204e-10,5.865749721386121,8.588536942573013,-12.004236695428936
-0.01,-1.1028920646329999e-10,-1.1028920646329999e-10,5.861292021762242,9.289141719504128,-12.004807224962965
-0.01,-1.1435054202150746e-10,-1.1435054202150746e-10,5.815497622530969,9.695908360271853,-12.005167337988945
-0.01,-1.1579304295643322e-10,-1.1579304295643322e-10,5.802506193600213,9.927771146099715,-12.005355328897114
-0.01,-1.188180214701883e-10,-1.188180214701883e-10,5.775656017924782,10.158888522645508,-12.005528957886465
-0.01,-1.2040292486809139e-10,-1.2040292486809139e-10,5.776259009032997,10.389606153408057,-12.005741486862691
-0.01,-1.2203778444224957e-10,-1.2203778444224957e-10,5.766172645027148,10.562469310523896,-12.005873236965465
-0.01,-1.2372390870892441e-10,-1.2372390870892441e-10,5.758323996997293,10.677581378313246,-12.005971357270633
-0.01,-1.2546264585092214e-10,-1.2546264585092214e-10,5.751680924198318,10.90773680158727,-12.006272008474868
-0.01,-1.2725329802800614e-10,-1.2725329802800614e-10,5.726350598146905,11.193964782638222,-12.006312125809712
-0.01,-1.3079977050713204e-10,-1.3079977050713204e-10,5.7068779262285405,11.707723900863474,-12.006831344944754
