torque,kappa,velocity,x,y
3.9893410519887373,-2.3286889754856842e-06,0.0053916761656936365,2.9999988502315182,-11.99997724025974
4.000186305875244,-6.7182710505437506e-06,0.0010723747399940013,2.999998846282519,-12.00004923668365
3.996794439246985,-4.5272235619925522e-06,0.0018797529353978405,2.999998838626183,-12.000039542401428
2.810076479686126,9.3463919455089058e-06,0.5950578279228765,3.022803538504267,-11.999988446127487
2.323293685082926,1.3185635716968208e-05,0.8383782493285137,3.0525753169810077,-12.000013007292985
1.838697268697057,2.3256707317340365e-05,1.0806712238179568,3.111860998472239,-12.0001047279569
0.4786753370505975,2.7063352746888497e-05,1.7606682201846462,3.1705781382013636,-11.999979024232228
-0.01,4.5663778061383557e-05,2.132439892593856,3.265135318150567,-12.00028493321565
-0.01,8.0243316705599501e-05,2.5778892939732643,3.410012926031661,-12.000279531211174
-0.01,4.3667407582556051e-05,2.93484635290984,3.554946028078039,-12.000435491275637
-0.01,0.00010537944292683775,3.4087560939997057,3.6858927674725797,-12.000500825459607
-0.01,0.00018275821196656389,3.6221061277828515,3.8642153396499714,-12.00053069861883
-0.01,0.00017250952600287399,3.6103482696886386,4.044993860923886,-12.001080059858321
-0.01,0.00018386389576615031,3.5989514348512133,4.261175356589383,-12.001448424216866
-0.01,0.00021063936749415494,3.5875472999785956,4.44069938591634,-12.00164909387127
-0.01,0.00021322845773723981,3.57608394087369,4.583907299922643,-12.001792865853934
-0.01,0.00021823289175900307,3.5702190171954937,4.762779107831516,-12.001978355937574
-0.01,0.00022487163797547824,3.5461189388858236,4.9758274446968525,-12.002198921517168
-0.01,0.000199331355285731,3.4790155018300326,5.116943559595547,-12.00231159738522
-0.01,0.00025252558597143584,3.514134228002498,5.292387824005596,-12.002535301603295
-0.01,0.00026441338394727866,3.500043019004576,5.467590858261628,-12.002667766260101
-0.01,0.0002540628341749052,3.488414697272902,5.642293830086231,-12.002761173672695
-0.01,0.00026445415472777764,3.472936478276485,5.816025441272723,-12.003014271890187
-0.01,0.00025803872543937213,3.463832711729689,6.0240654232929,-12.003199061276362
-0.01,0.00025456086264299266,3.4524865094265342,6.196869918612026,-12.003332775405953
-0.01,0.00025921381153382424,3.4576293974071834,6.33495601013616,-12.003483051890257
-0.01,0.00029988356536155057,3.4190606595039807,6.540565835417382,-12.003581753024026
-0.01,0.00029845311336361159,3.4075614333664666,6.710712857916785,-12.003803907881114
-0.01,0.00024160747752175938,3.3773498625332006,6.879819226626923,-12.003969345382114
-0.01,0.00022317827486356413,3.3660585595087813,7.048289183687328,-12.004095349710688
-0.01,0.00024773145645358023,3.354623176594576,7.182653643668532,-12.004115569386569
-0.01,0.00023590983084197722,3.3352774608693525,7.350313150610014,-12.004157739765425
-0.01,0.00021327235387669455,3.323880015410156,7.5167848913907545,-12.004279078343076
-0.01,0.00019219151495117516,3.312452643366929,7.715797065867097,-12.004360104297296
-0.01,0.00021762292275313426,3.2999143189137614,7.848007794301064,-12.004375925173932
-0.01,0.00023301787751209635,3.281308969295918,8.01285948225757,-12.004451939935683
-0.01,0.00025528334504026115,3.2655423059801882,8.20935156626785,-12.00458126211717
